,LSOA code,LSOA name (Eng),WIMD 2025 overall quintile,population,households,average_household_size,air_quality,congestion,dampness,diet_change,excess_cold,excess_heat,hassle_costs,noise,physical_activity,road_repairs,road_safety,sum,air_quality_std,congestion_std,dampness_std,diet_change_std,excess_cold_std,excess_heat_std,hassle_costs_std,noise_std,physical_activity_std,road_repairs_std,road_safety_std,sum_std
0,W01001694,Adamsdown 1,1,2064,885,2.33,1.449489851,0.0,0.012339098,0.1546545,0.022847835,7.46e-07,-2.078144863,0.0,0.864702143,0.0,0.0,0.42588931,702.272214631783,0.0,5.97824515503876,74.92950581395348,11.069687499999999,0.0003614341085271318,-1006.8531312984495,0.0,418.94483672480624,0.0,0.0,206.3417199612403
1,W01001695,Adamsdown 2,2,4906,747,6.57,3.445347483,0.0,0.011199839,0.367604156,0.033398211,1.94e-06,-4.939621459,0.0,2.044438901,0.0,0.0,0.962369067,702.2722142274765,0.0,2.2828860578883,74.92950591112923,6.807625560538115,0.00039543416225030576,-1006.8531306563391,0.0,416.7221567468406,0.0,0.0,196.1616524663677
2,W01001696,Adamsdown 3,1,1581,669,2.36,1.110980821,0.0,0.016859438,0.11846355,0.031068499,1.02e-06,-1.591834801,0.0,0.578321797,0.0,0.0,0.263860328,702.7076666666667,0.0,10.663781151170147,74.92950664136623,19.651169512966476,0.0006451612903225806,-1006.8531315623023,0.0,365.79493801391527,0.0,0.0,166.894578115117
3,W01001697,Adamsdown 4,2,2024,864,2.34,1.427662442,0.0,0.02101889,0.151657318,0.169399017,2.89e-06,-2.037870738,0.0,1.0208585,0.0,0.0,0.75272832,705.3668191699604,0.0,10.384827075098814,74.92950494071147,83.69516650197629,0.0014278656126482212,-1006.853131422925,0.0,504.3767292490118,0.0,0.0,371.90134387351776
4,W01001698,Adamsdown 5,1,2148,947,2.27,1.509416068,0.0,0.01418731,0.160948577,0.02802736,8.41e-07,-2.162720525,0.0,0.935002684,0.0,0.0,0.484862315,702.7076666666667,0.0,6.604892923649906,74.92950512104284,13.048119180633147,0.0003915270018621974,-1006.8531308193668,0.0,435.2898901303538,0.0,0.0,225.72733472998138
5,W01001699,Butetown 1,1,2537,1031,2.46,1.78276935,0.0,0.06560867,0.190096155,0.082383279,7.52e-06,-2.554386392,0.0,1.08805828,0.0,0.0,0.654536865,702.7076665352778,0.0,25.860729207725658,74.92950532124557,32.47271541190383,0.0029641308632242804,-1006.853130469058,0.0,428.87594797004334,0.0,0.0,257.99639929050056
6,W01001702,Caerau (Cardiff) 1,2,1802,737,2.45,1.271071011,0.0,0.023947054,0.135022969,0.220759823,3.59e-06,-1.814349339,0.0,1.65227641,0.0,0.0,1.488731523,705.3668207547171,0.0,13.289153163152053,74.92950554938956,122.50822586015539,0.0019922308546059934,-1006.853129300777,0.0,916.9125471698113,0.0,0.0,826.1551182019978
7,W01001703,Caerau (Cardiff) 2,1,1212,486,2.49,0.854904588,0.0,0.016387725,0.090814561,0.136208041,2.36e-06,-1.220305993,0.0,0.847875334,0.0,0.0,0.725886613,705.3668217821782,0.0,13.521225247524752,74.92950577557755,112.38287211221122,0.001947194719471947,-1006.8531295379538,0.0,699.5671072607261,0.0,0.0,598.9163473597359
8,W01001704,Caerau (Cardiff) 3,1,1690,624,2.71,1.191175315,0.0,0.016663215,0.126630865,0.038701964,1.29e-06,-1.70158179,0.0,0.8575563,0.0,0.0,0.529147162,704.8374644970414,0.0,9.859890532544378,74.92950591715977,22.900570414201184,0.0007633136094674556,-1006.8531301775148,0.0,507.4297633136095,0.0,0.0,313.1048295857988
9,W01001705,Caerau (Cardiff) 4,1,2008,783,2.56,1.416376574,0.0,0.026039542,0.150458445,0.209749827,3.68e-06,-2.021761087,0.0,1.486400433,0.0,0.0,1.26726741,705.3668197211156,0.0,12.967899402390437,74.92950448207172,104.45708515936255,0.0018326693227091633,-1006.8531309760955,0.0,740.2392594621514,0.0,0.0,631.109267928287
10,W01001706,Caerau (Cardiff) 5,2,1398,588,2.38,0.986102812,0.0,0.015748944,0.104751451,0.198736123,2.96e-06,-1.407580677,0.0,0.949694647,0.0,0.0,0.847456264,705.3668183118741,0.0,11.265339055793993,74.92950715307582,142.1574556509299,0.002117310443490701,-1006.8531309012875,0.0,679.3237818311874,0.0,0.0,606.1918912732475
11,W01001707,Caerau (Cardiff) 6,1,2016,808,2.5,1.422019509,0.0,0.027590951,0.151057882,0.218949281,3.77e-06,-2.029815911,0.0,1.390224731,0.0,0.0,1.180030214,705.3668199404763,0.0,13.685987599206348,74.92950496031747,108.60579414682539,0.0018700396825396825,-1006.8531304563493,0.0,689.5956006944444,0.0,0.0,585.332447420635
12,W01001708,Caerau (Cardiff) 7,1,1734,732,2.37,1.223106063,0.0,0.024776864,0.129927763,0.118460817,2.44e-06,-1.74588333,0.0,1.063206903,0.0,0.0,0.81359752,705.3668183391003,0.0,14.288848904267589,74.92950576701269,68.31650346020761,0.0014071510957324106,-1006.8531314878893,0.0,613.1527698961937,0.0,0.0,469.2027220299885
13,W01001710,Canton 2,2,1864,800,2.33,1.314811714,0.0,0.016167898,0.1396686,0.193611908,2.88e-06,-1.876774236,0.0,1.181448758,0.0,0.0,0.968937523,705.3710912017167,0.0,8.673765021459227,74.92950643776824,103.86904935622317,0.0015450643776824034,-1006.8531309012876,0.0,633.8244409871244,0.0,0.0,519.8162677038626
14,W01001711,Canton 3,2,2035,874,2.33,1.435421478,0.0,0.022698189,0.152481546,0.219095463,3.39e-06,-2.048946121,0.0,1.269060474,0.0,0.0,1.049814418,705.3668196560197,0.0,11.15390122850123,74.92950663390664,107.66361818181818,0.0016658476658476659,-1006.8531307125309,0.0,623.6169405405406,0.0,0.0,515.8793208845209
15,W01001712,Canton 4,4,1528,714,2.14,1.077807024,0.0,0.01383225,0.114492285,0.193759105,2.63e-06,-1.538471585,0.0,1.039765201,0.0,0.0,0.90118691,705.3710890052356,0.0,9.052519633507853,74.92950589005235,126.80569698952878,0.0017212041884816754,-1006.8531315445026,0.0,680.4746079842932,0.0,0.0,589.7820091623037
16,W01001713,Canton 5,3,1747,774,2.26,1.233044032,0.0,0.015891041,0.130901848,0.232660735,3.3e-06,-1.758972418,0.0,1.153595516,0.0,0.0,1.007124058,705.8065437893532,0.0,9.096188322839154,74.92950658271322,133.17729536348025,0.001888952489982828,-1006.8531299370349,0.0,660.3294310246137,0.0,0.0,576.487726388094
