co-benefit_type,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,sum,population,households,LSOA code,LSOA name (Eng),WIMD 2025 overall rank ,WIMD 2025 overall decile,WIMD 2025 overall quintile
air_quality,0.003398961,0.005471944,0.007031548,0.009059631,0.011636921,0.015380102,0.019642523,0.025439918,0.031866792,0.038184532,0.045231838,0.051877056,0.058275495,0.064446993,0.070266451,0.075765689,0.080481597,0.084753253,0.088509619,0.091714273,0.094344455,0.095902429,0.096070241,0.095512418,0.094903626,0.094321546,1.449489851,2064,885,W01001694,Adamsdown 1,189,1,1
congestion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2064,885,W01001694,Adamsdown 1,189,1,1
dampness,0.0,1.85e-07,3.26e-07,0.000445018,0.00044446,0.000140797,2.29e-05,2.3e-05,2.61e-05,0.000460786,0.000460423,0.000579574,0.000456338,0.000458443,0.00073498,0.000758567,0.000752859,0.000747209,0.000746782,0.000741272,0.00073601,0.000730618,0.000725364,0.000720683,0.00071562,0.000710784,0.012339098,2064,885,W01001694,Adamsdown 1,189,1,1
diet_change,0.0,0.0,0.007291543,0.007326519,0.007272904,0.007192456,0.007104089,0.007013554,0.006922608,0.006831849,0.006741562,0.006652028,0.006563493,0.006476046,0.006389735,0.00630459,0.006220567,0.006137602,0.006055649,0.005974649,0.005894447,0.005814886,0.005735881,0.005657339,0.005579175,0.005501329,0.1546545,2064,885,W01001694,Adamsdown 1,189,1,1
excess_cold,0.0,2.14e-05,3.69e-05,5.23e-05,7.1e-05,0.000143281,0.000146249,0.000169003,0.000694429,0.000297323,0.000817505,0.00087121,0.00083344,0.000867293,0.001024834,0.001059587,0.001063098,0.001060052,0.001208207,0.001199613,0.001895573,0.001870831,0.001847399,0.001883852,0.001860911,0.001852545,0.022847835,2064,885,W01001694,Adamsdown 1,189,1,1
excess_heat,0.0,-1.31e-09,2.73e-09,-1.39e-09,4.22e-10,-1.31e-08,2.4e-09,2.04e-08,1.76e-08,2.1e-09,5.63e-08,2.88e-08,6.51e-10,3.42e-08,3.04e-08,8.88e-08,3.81e-08,3.97e-08,4.27e-08,4.37e-08,4.66e-08,4.65e-08,4.66e-08,4.67e-08,4.66e-08,7.94e-08,7.46e-07,2064,885,W01001694,Adamsdown 1,189,1,1
hassle_costs,-0.042510921,-0.050736907,-0.058742547,-0.066716324,-0.074557413,-0.082251526,-0.082901356,-0.083508584,-0.084077663,-0.084602337,-0.085089435,-0.08546683,-0.085796968,-0.086074616,-0.086301741,-0.086471908,-0.086413922,-0.086303642,-0.086140798,-0.085931286,-0.085687475,-0.085290268,-0.084860205,-0.084399563,-0.083908957,-0.083401671,-2.078144863,2064,885,W01001694,Adamsdown 1,189,1,1
noise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2064,885,W01001694,Adamsdown 1,189,1,1
physical_activity,0.011668399,0.016572215,0.020223231,0.023193606,0.025879922,0.028541882,0.029648072,0.030696174,0.031685601,0.032644851,0.0337882,0.034601694,0.03537201,0.036132893,0.036845869,0.037740534,0.038323429,0.038836304,0.039273156,0.039642578,0.040178964,0.040396105,0.040539554,0.040604316,0.040652554,0.04102003,0.864702143,2064,885,W01001694,Adamsdown 1,189,1,1
road_repairs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2064,885,W01001694,Adamsdown 1,189,1,1
road_safety,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2064,885,W01001694,Adamsdown 1,189,1,1
sum,-0.027443561,-0.028671164,-0.024158996,-0.026639251,-0.029252206,-0.030853021,-0.026337521,-0.020166915,-0.012882115,-0.006182994,0.001950149,0.009114761,0.015703809,0.022307086,0.028960158,0.035157148,0.040427666,0.045230818,0.049652658,0.053341143,0.057362021,0.059424648,0.060058281,0.059979092,0.059802976,0.060004642,0.42588931,2064,885,W01001694,Adamsdown 1,189,1,1
air_quality,0.008079119,0.013006472,0.016713553,0.02153418,0.02766024,0.036557548,0.04668906,0.060469107,0.075745389,0.090762264,0.107513273,0.123308544,0.138517238,0.153186505,0.167018998,0.180090343,0.191299765,0.201453227,0.210381876,0.21799914,0.224250918,0.227954125,0.228353005,0.227027094,0.225580034,0.224196466,3.445347483,4906,747,W01001695,Adamsdown 2,406,3,2
congestion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4906,747,W01001695,Adamsdown 2,406,3,2
dampness,0.0,4.58e-07,7.82e-07,0.000407316,0.000404263,0.000131318,2.09e-05,2.14e-05,2.18e-05,0.000417777,0.000418532,0.000524718,0.000415688,0.000432099,0.000685654,0.000687153,0.000682272,0.000677366,0.000672406,0.000667722,0.000663247,0.000658377,0.000653591,0.000649466,0.000644799,0.000640735,0.011199839,4906,747,W01001695,Adamsdown 2,406,3,2
diet_change,0.0,0.0,0.017331546,0.017414682,0.017287241,0.017096022,0.016885979,0.016670782,0.01645461,0.016238881,0.016024274,0.015811458,0.015601015,0.01539316,0.015188003,0.014985619,0.014785903,0.0145887,0.014393902,0.01420137,0.014010735,0.013821623,0.013633834,0.013447145,0.013261354,0.013076318,0.367604156,4906,747,W01001695,Adamsdown 2,406,3,2
excess_cold,0.0,5.39e-05,8.78e-05,0.000126921,0.000185161,0.000327737,0.000313961,0.00083281,0.000883557,0.000611745,0.001166424,0.001299356,0.001218664,0.001493916,0.001624714,0.001750534,0.001778464,0.001784903,0.001777807,0.001786565,0.002408817,0.002379709,0.002347005,0.002404881,0.002368598,0.002384262,0.033398211,4906,747,W01001695,Adamsdown 2,406,3,2
excess_heat,0.0,-3.29e-09,6.13e-09,-4.44e-09,1.55e-09,-3.36e-08,6.74e-09,5.37e-08,4.42e-08,5.09e-09,1.46e-07,7.41e-08,4.32e-10,9.13e-08,8.08e-08,2.34e-07,1.01e-07,1.05e-07,1.08e-07,1.14e-07,1.2e-07,1.2e-07,1.2e-07,1.21e-07,1.19e-07,2.05e-07,1.94e-06,4906,747,W01001695,Adamsdown 2,406,3,2
